X,Função W(x)
0.5,0.35173371124919584
1.0,0.5671432904097838
1.5,0.7258613577662263
2.0,0.8526055020137254
2.5,0.958586356728703
3.0,1.04990889496404
3.5,1.1302893269741359
4.0,1.2021678731970429
4.5,1.2672378143074348
5.0,1.3267246652422002
5.5,1.3815453794450412
6.0,1.4324047758983003
6.5,1.4798568301738515
7.0,1.5243452049841444
7.5,1.5662309537823875
8.0,1.6058119963201776
8.5,1.6433371447761014
9.0,1.6790164197855981
9.5,1.7130287790349636
10.0,1.7455280027406994
10.5,1.7766472413101468
11.0,1.806502575505666
11.5,1.8351958366093077
12.0,1.862816864432358
12.5,1.889445332942441
13.0,1.9151522395363565
13.5,1.9400011299307736
14.0,1.9640491132494777
14.5,1.9873477091453542
15.0,2.0099435593505657
15.5,2.03187902896888
16.0,2.0531927174626485
16.5,2.073919895187618
17.0,2.0940928781663217
17.5,2.1137413513307313
18.0,2.1328926485360857
18.5,2.151571996124529
19.0,2.169802725605733
19.5,2.1876064600519642
20.0,2.20500327802406
20.5,2.2220118582120634
21.0,2.2386496074588935
21.5,2.2549327744134153
22.0,2.270876550711971
22.5,2.28649516130031
23.0,2.3018019452693563
23.5,2.3168094283793272
24.0,2.331529388280119
24.5,2.3459729132957796
25.0,2.360150455522664
25.5,2.374071878890725
26.0,2.387746502752277
26.5,2.401183141490003
27.0,2.41439014057388
27.5,2.427375409443438
28.0,2.4401464515459144
28.5,2.4527103918213276
29.0,2.465074001891233
29.5,2.477243723178262
30.0,2.489225688157678
30.5,2.5010257399197036
31.0,2.5126494502016516
31.5,2.5241021360316895
32.0,2.535388875110911
32.5,2.5465145200470896
33.0,2.557483711541749
33.5,2.5683008906218263
34.0,2.578970309998023
34.5,2.5894960446238198
35.0,2.5998820015219013
35.5,2.6101319289383076
36.0,2.620249424878908
36.5,2.630237945077679
37.0,2.64010081044169
37.5,2.6498412140136107
38.0,2.6594622274888753
38.5,2.6689668073213513
39.0,2.678357800448373
39.5,2.6876379496633476
40.0,2.696809898661708
40.5,2.7058761967838305
41.0,2.714839303476542
41.5,2.7237015924930796
42.0,2.732465355849724
42.5,2.7411328075558825
43.0,2.749706087133045
43.5,2.7581872629368283
44.0,2.766578335295223
44.5,2.774881239475134
45.0,2.7830978484884055
45.5,2.7912299757476555
46.0,2.799279377581496
46.5,2.807247755617999
47.0,2.815136759044622
47.5,2.8229479867522227
48.0,2.8306829893702337
48.5,2.838343271199588
49.0,2.845930292049502
49.5,2.8534454689838173
50.0,2.8608901779822107
50.5,2.868265755521205
51.0,2.8755735000796028
51.5,2.882814673572646
52.0,2.8899905027189168
52.5,2.897102180343749
53.0,2.904150866622654
53.5,2.911137690268057
54.0,2.9180637496624247
54.5,2.9249301139406696
55.0,2.9317378240245375
55.5,2.9384878936115193
56.0,2.9451813101206707
56.5,2.9518190355975764
57.0,2.9584020075805664
57.5,2.9649311399301634
58.0,2.971407323623617
58.5,2.9778314275162874
59.0,2.984204299071516
59.5,2.9905267650605527
60.0,2.9967996322339916
60.5,3.0030236879661105
61.0,3.009199700873411
61.5,3.015328421408594
62.0,3.021410582431139
62.5,3.027446899755577
63.0,3.0334380726785115
63.5,3.039384784485355
64.0,3.0452877029377263
64.5,3.051147480742383
65.0,3.056964756002524
65.5,3.062740152652255
66.0,3.068474280874968
66.5,3.074167737506341
67.0,3.079821106422639
67.5,3.0854349589149517
68.0,3.0910098540499797
68.5,3.0965463390179417
69.0,3.1020449494681572
69.5,3.1075062098328226
70.0,3.1129306336394778
70.5,3.1183187238126333
71.0,3.1236709729650136
71.5,3.1289878636788306
72.0,3.1342698687775115
72.5,3.1395174515882522
73.0,3.1447310661957797
73.5,3.149911157687665
74.0,3.1550581623915255
74.5,3.1601725081044445
75.0,3.1652546143148985
75.5,3.1703048924175006
76.0,3.1753237459208226
76.5,3.1803115706485774
77.0,3.185268754934401
77.5,3.1901956798104876
78.0,3.195092719190306
78.5,3.1999602400456175
79.0,3.204798602578011
79.5,3.2096081603851565
80.0,3.2143892606219695
80.5,3.2191422441568793
81.0,3.2238674457233674
81.5,3.2285651940669613
82.0,3.2332358120878326
82.5,3.237879616979169
83.0,3.24249692036146
83.5,3.247088028412845
84.0,3.251653241995666
84.5,3.256192856779345
85.0,3.260707163359728
85.5,3.2651964473750072
86.0,3.269660989618342
86.5,3.27410106614729
87.0,3.2785169483901604
87.5,3.282908903249387
88.0,3.2872771932020237
88.5,3.2916220763974597
89.0,3.2959438067524442
89.5,3.3002426340435096
90.0,3.3045188039968783
90.5,3.308772558375936
91.0,3.3130041350663504
91.5,3.317213768158909
92.0,3.3214016880301505
92.5,3.3255681214208606
93.0,3.3297132915125
93.5,3.3338374180016257
94.0,3.337940717172379
94.5,3.3420234019670847
95.0,3.3460856820550333
95.5,3.3501277638995
96.0,3.354149850823047
96.5,3.3581521430711714
97.0,3.3621348378743416
97.5,3.3660981295084755
98.0,3.3700422093539064
98.5,3.373967265952878
99.0,3.377873485065618
99.5,3.381761049725032
100.0,3.38563014029005
100.5,3.3894809344976773
101.0,3.3933136075137775
101.5,3.3971283319826333
102.0,3.4009252780753094
102.5,3.4047046135368646
103.0,3.408466503732434
103.5,3.412211111692226
104.0,3.4159385981554475
104.5,3.419649121613212
105.0,3.423342838350433
105.5,3.4270199024867494
106.0,3.430680466016504
106.5,3.434324678847798
107.0,3.437952688840655
107.5,3.4415646418443058
108.0,3.445160681733636
108.5,3.4487409504448037
109.0,3.452305588010055
109.5,3.4558547325917615
110.0,3.4593885205157004
110.5,3.462907086303589
111.0,3.466410562704908
111.5,3.4698990807280183
112.0,3.473372769670598
112.5,3.476831757149417
113.0,3.4802761691294637
113.5,3.483706129952441
114.0,3.487121762364649
114.5,3.490523187544272
115.0,3.4939105251280824
115.5,3.4972838932375736
116.0,3.500643408504546
116.5,3.5039891860961476
117.0,3.5073213397393954
117.5,3.5106399817451797
118.0,3.51394522303177
118.5,3.5172371731478367
119.0,3.520515940294994
119.5,3.5237816313498818
120.0,3.5270343518857974
120.5,3.5302742061938814
121.0,3.5335012973038795
121.5,3.5367157270044793
122.0,3.5399175958632436
122.5,3.54310700324614
123.0,3.5462840473366786
123.5,3.5494488251546787
124.0,3.5526014325746504
124.5,3.555741964343826
125.0,3.5588705140998287
125.5,3.561987174387999
126.0,3.565092036678385
126.5,3.568185191382398
127.0,3.5712667278691512
127.5,3.574336734481479
128.0,3.5773952985516533
128.5,3.5804425064167957
129.0,3.5834784434339984
129.5,3.5865031939951577
130.0,3.5895168415415277
130.5,3.5925194685779975
131.0,3.5955111566871047
131.5,3.5984919865427845
132.0,3.6014620379238633
132.5,3.6044213897273023
133.0,3.6073701199811956
133.5,3.6103083058575325
134.0,3.61323602368472
134.5,3.616153348959882
135.0,3.619060356360931
135.5,3.6219571197584246
136.0,3.6248437122272015
136.5,3.6277202060578166
137.0,3.630586672767763
137.5,3.6334431831124983
138.0,3.6362898070962735
138.5,3.639126613982768
139.0,3.6419536723055383
139.5,3.6447710498782846
140.0,3.647578813804931
140.5,3.6503770304895364
141.0,3.653165765646028
141.5,3.6559450843077657
142.0,3.658715050836947
142.5,3.66147572893384
143.0,3.6642271816458662
143.5,3.6669694713765235
144.0,3.6697026598941562
144.5,3.67242680834058
145.0,3.6751419772395555
145.5,3.6778482265051236
146.0,3.6805456154497964
146.5,3.6832342027926126
147.0,3.685914046667058
147.5,3.688585204628856
148.0,3.691247733663622
148.5,3.693901690194401
149.0,3.696547130089072
149.5,3.6991841086676347
150.0,3.7018126807093776
150.5,3.704432900459927
151.0,3.7070448216381795
151.5,3.709648497443129
152.0,3.7122439805605745
152.5,3.714831323169726
153.0,3.7174105769497006
153.5,3.7199817930859167
154.0,3.7225450222763867
154.5,3.7251003147379054
155.0,3.7276477202121456
155.5,3.7301872879716536
156.0,3.7327190668257506
