X,Log base 2
1.0,0.0
1.5,0.5849625007211562
2.0,1.0
2.5,1.3219280948873624
3.0,1.584962500721156
3.5,1.8073549220576042
4.0,2.0
4.5,2.169925001442312
5.0,2.321928094887362
5.5,2.4594316186372973
6.0,2.584962500721156
6.5,2.700439718141092
7.0,2.807354922057604
7.5,2.9068905956085187
8.0,3.0
8.5,3.0874628412503395
9.0,3.169925001442312
9.5,3.2479275134435857
10.0,3.321928094887362
10.5,3.3923174227787602
11.0,3.4594316186372973
11.5,3.523561956057013
12.0,3.584962500721156
12.5,3.643856189774725
13.0,3.700439718141092
13.5,3.7548875021634687
14.0,3.807354922057604
14.5,3.8579809951275723
15.0,3.9068905956085187
15.5,3.9541963103868754
16.0,4.0
16.5,4.044394119358453
17.0,4.087462841250339
17.5,4.129283016944966
18.0,4.169925001442312
18.5,4.20945336562895
19.0,4.247927513443585
19.5,4.285402218862249
20.0,4.321928094887363
20.5,4.357552004618084
21.0,4.392317422778761
21.5,4.426264754702098
22.0,4.459431618637297
22.5,4.491853096329675
23.0,4.523561956057013
23.5,4.554588851677638
24.0,4.584962500721156
24.5,4.614709844115208
25.0,4.643856189774724
25.5,4.672425341971495
26.0,4.700439718141092
26.5,4.727920454563199
27.0,4.754887502163468
27.5,4.78135971352466
28.0,4.807354922057604
28.5,4.832890014164741
29.0,4.857980995127572
29.5,4.882643049361842
30.0,4.906890595608519
30.5,4.930737337562887
31.0,4.954196310386875
31.5,4.977279923499917
32.0,5.0
32.5,5.022367813028454
33.0,5.044394119358453
33.5,5.066089190457772
34.0,5.087462841250339
34.5,5.108524456778169
35.0,5.129283016944966
35.5,5.149747119504682
36.0,5.169925001442312
36.5,5.189824558880018
37.0,5.20945336562895
37.5,5.22881869049588
38.0,5.247927513443585
38.5,5.266786540694901
39.0,5.285402218862249
39.5,5.303780748177103
40.0,5.321928094887363
40.5,5.339850002884624
41.0,5.357552004618084
41.5,5.3750394313469245
42.0,5.392317422778761
42.5,5.409390936137702
43.0,5.426264754702098
43.5,5.442943495848728
44.0,5.459431618637297
44.5,5.475733430966398
45.0,5.491853096329675
45.5,5.507794640198696
46.0,5.523561956057013
46.5,5.539158811108031
47.0,5.554588851677638
47.5,5.569855608330948
48.0,5.584962500721156
48.5,5.599912842187128
49.0,5.614709844115208
49.5,5.6293566200796095
50.0,5.643856189774724
50.5,5.658211482751795
51.0,5.672425341971495
51.5,5.6865005271832185
52.0,5.700439718141092
52.5,5.714245517666122
53.0,5.727920454563199
53.5,5.741466986401147
54.0,5.754887502163468
54.5,5.768184324776926
55.0,5.78135971352466
55.5,5.794415866350106
56.0,5.807354922057604
56.5,5.820178962415188
57.0,5.832890014164741
57.5,5.845490050944375
58.0,5.857980995127572
58.5,5.870364719583405
59.0,5.882643049361842
59.5,5.894817763307944
60.0,5.906890595608519
60.5,5.918863237274595
61.0,5.930737337562887
61.5,5.94251450533924
62.0,5.954196310386875
62.5,5.965784284662087
63.0,5.977279923499917
63.5,5.9886846867721655
64.0,6.0
64.5,6.011227255423254
65.0,6.022367813028454
65.5,6.03342300153745
66.0,6.044394119358453
66.5,6.05528243550119
67.0,6.066089190457772
67.5,6.076815597050831
68.0,6.087462841250339
68.5,6.098032082960526
69.0,6.108524456778169
69.5,6.118941072723508
70.0,6.129283016944966
70.5,6.139551352398794
71.0,6.149747119504682
71.5,6.159871336778389
72.0,6.169925001442312
72.5,6.1799090900149345
73.0,6.189824558880018
73.5,6.199672344836364
74.0,6.20945336562895
74.5,6.219168520462161
75.0,6.22881869049588
75.5,6.2384047393250786
76.0,6.247927513443585
76.5,6.257387842692652
77.0,6.266786540694901
77.5,6.2761244052742375
78.0,6.285402218862249
78.5,6.294620748891627
79.0,6.303780748177103
79.5,6.312882955284356
80.0,6.321928094887363
80.5,6.330916878114617
81.0,6.339850002884624
81.5,6.348728154231077
82.0,6.357552004618084
82.5,6.366322214245816
83.0,6.3750394313469245
83.5,6.383704292474052
84.0,6.392317422778761
84.5,6.400879436282184
85.0,6.409390936137702
85.5,6.417852514885898
86.0,6.426264754702098
86.5,6.434628227636725
87.0,6.442943495848728
87.5,6.451211111832329
88.0,6.459431618637297
88.5,6.467605550082998
89.0,6.475733430966398
89.5,6.483815777264256
90.0,6.491853096329675
90.5,6.499845887083206
91.0,6.507794640198696
91.5,6.515699838284043
92.0,6.523561956057013
92.5,6.531381460516312
93.0,6.539158811108031
93.5,6.546894459887636
94.0,6.554588851677638
94.5,6.562242424221073
95.0,6.569855608330948
95.5,6.577428828035749
96.0,6.584962500721156
96.5,6.592457037268081
97.0,6.599912842187128
97.5,6.60733031374961
98.0,6.614709844115208
98.5,6.622051819456376
99.0,6.6293566200796095
99.5,6.636624620543649
100.0,6.643856189774724
100.5,6.651051691178929
101.0,6.658211482751795
101.5,6.6653359171851765
102.0,6.672425341971495
102.5,6.679480099505446
103.0,6.6865005271832185
103.5,6.693486957499325
104.0,6.700439718141092
104.5,6.7073591320808825
105.0,6.714245517666122
105.5,6.721099188707185
106.0,6.727920454563199
106.5,6.734709620225838
107.0,6.741466986401147
107.5,6.7481928495894605
108.0,6.754887502163468
108.5,6.7615512324444795
109.0,6.768184324776926
109.5,6.774787059601174
110.0,6.78135971352466
110.5,6.787902559391432
111.0,6.794415866350106
111.5,6.800899899920305
112.0,6.807354922057604
112.5,6.813781191217037
113.0,6.820178962415188
113.5,6.826548487290915
114.0,6.832890014164741
114.5,6.839203788096944
115.0,6.845490050944375
115.5,6.851749041416057
116.0,6.857980995127572
116.5,6.864186144654281
117.0,6.870364719583405
117.5,6.876516946564999
118.0,6.882643049361842
118.5,6.888743248898259
119.0,6.894817763307944
119.5,6.900866807980749
120.0,6.906890595608519
120.5,6.912889336229962
121.0,6.918863237274595
121.5,6.924812503605781
122.0,6.930737337562887
122.5,6.936637939002571
123.0,6.94251450533924
123.5,6.948367231584678
124.0,6.954196310386875
124.5,6.960001932068081
125.0,6.965784284662087
125.5,6.971543553950772
126.0,6.977279923499917
126.5,6.98299357469431
127.0,6.9886846867721655
127.5,6.994353436858858
128.0,7.0
128.5,7.005624549193878
129.0,7.011227255423254
129.5,7.016808287686554
130.0,7.022367813028454
130.5,7.027905996569885
131.0,7.03342300153745
131.5,7.038918989292302
132.0,7.044394119358453
132.5,7.049848549450561
133.0,7.05528243550119
133.5,7.060695931687554
134.0,7.066089190457772
134.5,7.071462362556624
135.0,7.076815597050831
135.5,7.082149041353872
136.0,7.087462841250339
136.5,7.092757140919852
137.0,7.098032082960526
137.5,7.103287808412022
138.0,7.108524456778169
138.5,7.113742166049188
139.0,7.118941072723508
139.5,7.124121311829188
140.0,7.129283016944966
140.5,7.134426320220926
141.0,7.139551352398794
141.5,7.144658242831882
142.0,7.149747119504682
142.5,7.154818109052104
143.0,7.159871336778389
143.5,7.1649069266756875
144.0,7.169925001442312
144.5,7.174925682500679
145.0,7.1799090900149345
145.5,7.184875342908284
146.0,7.189824558880018
146.5,7.1947568544222475
147.0,7.199672344836364
147.5,7.204571144249203
148.0,7.20945336562895
148.5,7.2143191208007655
149.0,7.219168520462161
149.5,7.224001674198105
150.0,7.22881869049588
150.5,7.233619676759702
151.0,7.2384047393250786
151.5,7.243173983472951
152.0,7.247927513443585
152.5,7.252665432450248
153.0,7.257387842692652
153.5,7.2620948453701795
154.0,7.266786540694901
154.5,7.271463027904375
155.0,7.2761244052742375
155.5,7.280770770130602
156.0,7.285402218862249
156.5,7.290018846932618
157.0,7.294620748891627
157.5,7.2992080183872785
158.0,7.303780748177103
158.5,7.3083390301394076
159.0,7.312882955284356
159.5,7.317412613764869
160.0,7.321928094887363
160.5,7.3264294871223035
161.0,7.330916878114617
161.5,7.335390354693925
162.0,7.339850002884624
162.5,7.344295907915817
163.0,7.348728154231077
163.5,7.353146825498083
164.0,7.357552004618084
164.5,7.361943773735241
165.0,7.366322214245816
165.5,7.3706874068072175
166.0,7.3750394313469245
166.5,7.379378367071262
167.0,7.383704292474052
167.5,7.388017285345135
168.0,7.392317422778761
168.5,7.396604781181859
169.0,7.400879436282184
169.5,7.405141463136344
170.0,7.409390936137702
170.5,7.413627929024172
171.0,7.417852514885898
171.5,7.422064766172812
172.0,7.426264754702098
172.5,7.430452551665532
173.0,7.434628227636725
173.5,7.438791852578261
174.0,7.442943495848728
174.5,7.447083226209652
175.0,7.451211111832329
175.5,7.455327220304561
176.0,7.459431618637297
176.5,7.463524373271181
177.0,7.467605550082998
177.5,7.471675214392045
178.0,7.475733430966398
178.5,7.4797802640291
179.0,7.483815777264256
179.5,7.487840033823051
180.0,7.491853096329675
180.5,7.495855026887171
181.0,7.499845887083206
181.5,7.503825737995751
182.0,7.507794640198696
182.5,7.511752653767379
183.0,7.515699838284043
183.5,7.519636252843212
184.0,7.523561956057013
184.5,7.527477006060396
185.0,7.531381460516312
185.5,7.535275376620803
186.0,7.539158811108031
186.5,7.543031820255238
187.0,7.546894459887636
187.5,7.550746785383243
188.0,7.554588851677638
188.5,7.5584207132686645
189.0,7.562242424221073
189.5,7.5660540381710915
190.0,7.569855608330948
190.5,7.573647187493322
191.0,7.577428828035749
191.5,7.581200581924957
192.0,7.584962500721156
192.5,7.588714635582264
193.0,7.592457037268081
193.5,7.59618975614441
194.0,7.599912842187128
194.5,7.603626344986192
195.0,7.60733031374961
195.5,7.611024797307352
