X,Logaritmo Natural
1.0,0.0
1.5,0.4054651081081644
2.0,0.6931471805599453
2.5,0.9162907318741551
3.0,1.0986122886681098
3.5,1.252762968495368
4.0,1.3862943611198906
4.5,1.5040773967762742
5.0,1.6094379124341003
5.5,1.7047480922384253
6.0,1.791759469228055
6.5,1.8718021769015913
7.0,1.9459101490553132
7.5,2.0149030205422647
8.0,2.0794415416798357
8.5,2.1400661634962708
9.0,2.1972245773362196
9.5,2.2512917986064953
10.0,2.302585092994046
10.5,2.3513752571634776
11.0,2.3978952727983707
11.5,2.4423470353692043
12.0,2.4849066497880004
12.5,2.5257286443082556
13.0,2.5649493574615367
13.5,2.6026896854443837
14.0,2.6390573296152584
14.5,2.6741486494265287
15.0,2.70805020110221
15.5,2.740840023925201
16.0,2.772588722239781
16.5,2.803360380906535
17.0,2.833213344056216
17.5,2.8622008809294686
18.0,2.8903717578961645
18.5,2.917770732084279
19.0,2.9444389791664403
19.5,2.970414465569701
20.0,2.995732273553991
20.5,3.0204248861443626
21.0,3.044522437723423
21.5,3.068052935133617
22.0,3.091042453358316
22.5,3.1135153092103742
23.0,3.1354942159291497
23.5,3.1570004211501135
24.0,3.1780538303479458
24.5,3.1986731175506815
25.0,3.2188758248682006
25.5,3.2386784521643803
26.0,3.258096538021482
26.5,3.2771447329921766
27.0,3.295836866004329
27.5,3.3141860046725258
28.0,3.332204510175204
28.5,3.349904087274605
29.0,3.367295829986474
29.5,3.3843902633457743
30.0,3.4011973816621555
30.5,3.417726683613366
31.0,3.4339872044851463
31.5,3.449987545831587
32.0,3.4657359027997265
32.5,3.481240089335692
33.0,3.4965075614664802
33.5,3.5115454388310208
34.0,3.5263605246161616
34.5,3.5409593240373143
35.0,3.5553480614894135
35.5,3.56953269648137
36.0,3.58351893845611
36.5,3.597312260588446
37.0,3.6109179126442243
37.5,3.624340932976365
38.0,3.6375861597263857
38.5,3.6506582412937387
39.0,3.6635616461296463
39.5,3.676300671907076
40.0,3.6888794541139363
40.5,3.7013019741124933
41.0,3.713572066704308
41.5,3.7256934272366524
42.0,3.7376696182833684
42.5,3.7495040759303713
43.0,3.7612001156935624
43.5,3.7727609380946383
44.0,3.784189633918261
44.5,3.7954891891721947
45.0,3.8066624897703196
45.5,3.817712325956905
46.0,3.828641396489095
46.5,3.8394523125933104
47.0,3.8501476017100584
47.5,3.8607297110405954
48.0,3.871201010907891
48.5,3.8815637979434374
49.0,3.8918202981106265
49.5,3.901972669574645
50.0,3.912023005428146
50.5,3.9219733362813143
